Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM2109150,0,0,0.141324613966937,0.0980954824143721,0,0,0,0.00468308038691524,0,0,0,0.0569297274681292,0.0282233160818879,0,0,0.48262002752882,0,0.0607898736940869,0.106048864226445,0,0,0.0212850142324064,0.18,0.0796004274105863,1.06514669835161
GSM2109151,0,0.0109973372124205,0.053666291114552,0.0969326384210857,0,0.0563667375815563,0,0.0428742774772751,0,0,0,0.0464918299394566,0.0491659957463083,0,0,0.387391860545464,0,0.0503003780734477,0.141100501532486,0,0,0.0647121523559472,0.34,0.0454766981141163,1.06356646743185
GSM2109152,0,0.00523511051955284,0.0498827418888151,0.131940826652012,0,0.0059272260730109,0,0.0184747244314964,0,0,0,0.089118697427479,0.067287750895789,0,0,0.424337948159006,0,0.0741400222247444,0.111044558309927,0,0,0.0226103934181677,0.0600000000000001,0.115527097430747,1.04258974110024
GSM2109153,0,0,0.147314332202516,0.0983623047137163,0,0,0.00691726390843843,0.0220224996254252,0,0,0,0.0247027326245139,0.0241364947376937,0,0.00291622596242444,0.511978280622932,0,0.0382147793367098,0.108434774399401,0,0,0.0150003118662292,0.16,0.0868251933863141,1.06469262547207
GSM2109154,0,0.0259126809012513,0.127936504196392,0.121477442982145,0,0,0,0.0188730598929483,0,0,0,0.0218021567385126,0.0483656483234022,0,0.0316764757795316,0.457600135011706,0,0,0.145745843630565,0,0,0.000610052543545279,0,0.150016278268951,1.03109330319854
GSM2109155,0,0,0.124542515401377,0.133893517868178,0,0.171744997220312,0,0,0,0,0,0.0572833531910252,0.0986126330074643,0,0,0.250938951941186,0,0.0593835407740308,0.103600490596427,0,0,0,0.68,0.00384430250497519,1.07402568134177
GSM2109156,0,0.0259453050024989,0.120218554035268,0.125221687852579,0,0.0663080249943992,0,0,0,0,0,0.0491133717063986,0.0856262048150819,0,0,0.371955253618269,0,0.0399977283965814,0.115613869578925,0,0,0,0.3,0.0552810359220834,1.06051384423177
GSM2109157,0.0526788068697307,0,0.119859506306641,0.230914510360239,0,0,0,0,0.0101724101767822,0,0.0419205202825852,0,0.0474021288462274,0,0.00160734631846255,0.419288350905318,0,0.0241717231290717,0.0423200651198173,0,0,0.00966463168512409,0.04,0.129217599232408,1.03768943056408
GSM2109158,0.0182948738379588,0,0.162730758667131,0.217910676034592,0,0.0122215616019269,0.0121670253701717,0,0,0,0,0.0500318000995552,0.168140016791726,0,0,0.268909876139017,0,0.0440723563941323,0.0381758502909234,0,0,0.00734520477286525,0.68,0.00341675135851325,1.08553070043291
GSM2109159,0,0.0204213766861505,0.151511502003202,0,0.0320896545062169,0,0,0.0220237170212901,0,0.0649814055700943,0,0.0700578739366352,0.0451936985504781,0,0.0334073136466988,0.322729001566667,0,0,0.188609422202724,0,0,0.0489750343098433,0.12,0.0897362562760336,1.05238963480995
GSM2109160,0,0,0.0808191314865432,0.157291860656688,0,0,0,0,0.017149125244968,0,0.00645858557616083,0.0380431022640069,0.121349853251645,0,0,0.335907131672368,0,0.0283894319777615,0,0.160154002046347,0,0.0544377758235118,0.34,0.0494530717583476,1.07697327718134
GSM2109161,0.056002087110603,0,0.155434529079433,0.0665923663917999,0,0.0808638367165112,0.000144877322846394,0,0,0,0.0023823464583839,0.021768172031542,0.0625011359491374,0,0,0.30030396581613,0,0.0265448272431731,0.0534377214109911,0,0,0.174024134469449,0.12,0.0939885301772236,1.0573425139708
GSM2109162,0.0173605747612257,0,0,0.0810275175897743,0,0.100590483036404,0,0.0773059466211694,0,0,0.0404827413846008,0.0559354725036449,0.0586478245078062,0,0,0.434006269330655,0,0.0382110458086622,0.019673086684149,0.00074151174773053,0,0.0760175260241782,0.18,0.0788774674977673,1.06351543266936
GSM2109163,0.00192777083159172,0.00126332656264745,0.0346872803806247,0,0,0.180547663492705,0.0117195546313038,0,0,0.0480643362531276,0,0,0,0,0,0.417726122746631,0,0.0724074368588005,0.141363961868798,0,0,0.0902925463737708,0.1,0.104298877210783,1.04439206333487
GSM2109164,0.00660276050353322,0,0.203077100413065,0.106760826004617,0,0.0553764480113444,0.00307052725974709,0,0.0214252811275649,0,0.0792917621211059,0,0.0204601356047127,0,0.0273512199843892,0.300069189197649,0,0.0296150949589373,0.0469150164975417,0,0,0.0999846383157924,0.8,-0.00397721591574956,1.09258421169558
GSM2109165,0,0.0440812493199306,0.0928048748399221,0.126486952619997,0,0,0,0,0.0172276602942737,0,0.135222780507325,0,0.132300218367449,0,0.0207223682881375,0.263306131251638,0,0,0,0.0971158759009409,0,0.0707318886103862,0.66,0.00491355525929206,1.08828735216249
GSM2109166,0,0.0152401940374389,0.0267392248364557,0.0654100088024702,0,0.0361304522782053,0,0.00855095872808913,0,0,0.00376163244996156,0.0270032355435117,0.196998607705713,0,0.0730821845597081,0.248657061551665,0,0,0.109526168501034,0,0,0.188900271005747,0.1,0.10389789261436,1.06396758019481
GSM2109167,0,0.0746100438663263,0.0364958993447503,0.124760409407727,0.0189731517254369,0,0,0.021360841616909,0,0.0204386433318484,0,0.0221160436613459,0.0334608470769815,0,0,0.22741408921608,0,0.0787025403074521,0.167179257195957,0,0,0.174488233249185,0.94,-0.0368617389162035,1.09624105399656
GSM2109168,0.00932263987969784,0,0.107561726249981,0.0913816341801211,0,0.142430243291578,0,0,0,0,0.0354338448597965,0,0.14993128561297,0,0,0.36011786887334,0,0.0334939968804824,0.0375870133046696,0,0,0.0327397468673628,0.1,0.104655246024937,1.04284067822068
GSM2109169,0.0435881976123859,0,0.136312827154089,0.120423291555291,0,0.0335726588321135,0.0173753625959529,0,0,0,0,0.052502729967083,0.0770582526273378,0,0.0197533827101136,0.297288386862059,0,0.0418127422177927,0,0.0734497818166656,0,0.0868623860491163,0.54,0.0122169432404128,1.08304205630576
GSM2109170,0,0.0447913256708611,0.0857986242992853,0.109718270052186,0,0,0.0353373915695988,0.0066706838827629,0,0,0,0,0,0,0,0.302867679818897,0,0.0362015036909629,0,0.00219621850055482,0,0.376418302514891,0,0.164704345598897,1.06047621224219
GSM2109171,0,0.0168158346857692,0.0346323711009702,0.0507357046763499,0,0,0,0.0141677707560526,0,0,0,0.0270758392412561,0.0307558771092997,0,0,0.443371191586104,0,0.0596904110548716,0.0478734202287836,0,0,0.274881579560543,0,0.149300028068348,1.06097212803539
GSM2109172,0.00567385717541591,0.00245554519026457,0.00674143936630012,0.0499921373708121,0.0865334153786955,0,0.120238374912917,0,0,0,0.0434310067718679,0.0727540943404451,0.0168042978469629,0,0.0592255695895138,0.219026419052781,0,0,0.0582293601407417,0,0,0.258894482863283,0,0.162575589751578,1.03440166142154
GSM2109173,0.0581602445757324,0,0.16560339563664,0.160849823409022,0,0,0,0,0.0220650207515116,0,0,0.0273056588256046,0.0249429079423051,0,0,0.419014104686101,0,0.0374941641593105,0.0537542111298833,0,0,0.0308104688838897,0.68,0.00289914345969788,1.0937304580174
GSM2109174,0.0695059006128707,0,0.105675429449665,0.222785816542696,0,0,0,0,0,0,0.0015036272205095,0.029065023057496,0.098089942839843,0,0.162256799699542,0.298995448171023,0,0,0,0.0121220124063544,0,0,0.7,0.00220022363162121,1.10499313259476
GSM2109175,0,0,0.138790043763237,0.209714057063889,0.0556517488089484,0,0,0,0,0,0.0895708980936451,0,0.059773379473628,0,0.000341111189020069,0.318557619148256,0,0.0287022276731976,0.0456680981916621,0,0,0.0532308165945167,0.9,-0.0285942233002451,1.09674509072438
GSM2109176,0.00118653575635152,0,0.0165416850118149,0.0714989001733697,0,0.0125961797345888,0,0.0207171699161713,0.00220118732822455,0,0.00643919999553353,0.0267221576254766,0.046493442215856,0,0,0.428710052883372,0.009891928576931,0.0661062547748977,0.117108028622143,0,0,0.17378727738527,0,0.147456460418076,1.04124235460743
GSM2109177,0,0.074644656497136,0.0423016279330313,0.101213226686895,0.0256848164712216,0,0,0.0238352620363062,0,0,0.0526608685080138,0,0.00210316033519581,0,0,0.280114295750882,0,0.0372553851441466,0.134976895793226,0,0,0.225209804843946,0.16,0.0826459516990272,1.05784925136996
GSM2109178,0,0.014898726218367,0.0864566696740613,0.134381820991884,0.052372114997104,0,0,0,0,0,0.0364371263403007,0.00583597146684694,0.168759809140446,0,0,0.343004668073817,0,0.0370396006112398,0.0416714385200628,0,0,0.0791420539658707,0.32,0.0535400015604992,1.06726950196129
GSM2109179,0.0329670150925954,0,0.0546349143611341,0.058541897312693,0,0.0226539546398257,0,0,0.00203851989068543,0,0.0416274899328398,0,0.117573076449166,0.0125863963153511,0,0.507806382244428,0,0.00972920861446079,0,0.133622806815113,0,0.00621833833170834,0,0.193606087289473,1.02613851527216
GSM2109180,0,0.0381309796154414,0.179320757794325,0.079825335092394,0,0,0,0.0225427985120212,0,0.0294056507709365,0,0,0.133871841108141,0,0,0.284313818833805,0,0.0511160790380406,0.0431571663047456,0.00522898629443629,0,0.133086586635713,0.46,0.0193351407626235,1.0921953353477
